"Region, subregion, country or area *",Births by women aged 15 to 19 (thousands)
India,2575.034681818182
Nigeria,998.6806818181817
Bangladesh,818.5997272727273
China,657.1448636363637
Brazil,570.3346818181818
Pakistan,560.5326363636364
Ethiopia,485.4331818181818
Indonesia,463.6621818181818
Democratic Republic of the Congo,430.7633181818182
Mexico,373.844
