 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,BRA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,15,6,13,84,94,91,92,97,96,98,99,99,96,99,96,98,96,96,96,96,89,93,93,72,77,68,68
British Virgin Islands,VGB,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Brunei Darussalam,BRN,96,96,96,96,96,96,96,96,96,96,96,96,96,99,99,99,98,98,99,93,99,99,99,99,99,99,99,97,96,96,96,93,99,98,99,99,99,99,99,99,99,99,99
Bulgaria,BGR,71,71,71,71,71,71,71,71,71,71,71,71,71,96,94,95,94,77,97,97,94,93,88,96,94,96,96,95,96,96,95,96,95,95,95,92,91,92,85,93,91,89,89
Burkina Faso,BFA,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,89,93,92,91,91,90,88,91,91,91,91,91,91,91,91,91
Burundi,BDI,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,87,92,99,92,94,96,96,96,96,95,94,94,91,90,93,93,94,94
Cabo Verde,CPV,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,66,91,93,95,96,98,98,98,90,94,93,96,94,96,97,99,97,94,94,94
Cambodia,KHM,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,82,91,92,91,91,91,86,91,92,93,93,92,92,92,92,92
Cameroon,CMR,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,81,82,84,80,84,82,85,89,83,78,75,74,67,67,69,69,69
Canada,CAN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,28,42,56,70,70,55,55,69,70,71,71,84,84,84,84
Cayman Islands,CYM,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Central African Republic,CAF,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,47,47,23,45,43,42,42,42,42,42,42,42
Chad,TCD,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,24,39,33,40,39,36,42,41,41,46,50,52,58,58
Channel Islands,,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Chile,CHL,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,92,95,94,92,94,90,90,95,97,95,93,95,96,93,98,98
China,CHN,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,65,70,75,79,84,91,92,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Colombia,COL,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,95,85,75,77,78,80,78,92,89,93,93,94,92,92,88,85,92,91,90,91,91,92,92,92,88,86,86
