 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Korea, Rep.",KOR,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,93,88,82,88,93,89,92,91,92,99,99,91,94,94,94,99,99,99,99,98,98,98,98,98,98,98,98
Kosovo,XKX,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Kuwait,KWT,38,38,38,38,38,38,38,38,38,38,38,38,38,91,93,99,99,98,99,95,95,99,99,99,94,99,99,99,99,99,99,99,98,99,96,99,99,99,91,92,93,94,94
Kyrgyz Republic,KGZ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,44,57,99,99,99,97,90,94,97,96,96,96,96,97,96,97,96,92,94,95,86,89,89
Lao PDR,LAO,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45,49,57,50,61,67,74,76,77,83,83,83,83,84,85,80,79,75,75
Latvia,LVA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,94,95,96,98,98,98,99,94,91,93,92,91,89,90,94,92,94,98,98,96,99,99,94,94
Lebanon,LBN,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,83,80,77,74,75,77,78,80,81,81,81,80,80,80,80,80,80,80,80,80,71,67,67
Lesotho,LSO,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,60,87,91,90,88,91,93,96,95,93,88,83,87,87,87,87,87,87,87
Liberia,LBR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,81,70,77,80,80,63,65,73,80,80,70,65,66,66
Libya,LBY,88,88,88,88,88,88,88,88,88,88,88,88,88,91,92,92,93,91,92,92,92,93,91,96,99,97,98,98,98,98,98,98,98,96,94,97,97,96,73,73,73,73,73
Liechtenstein,LIE,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Lithuania,LTU,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,96,98,95,94,95,94,95,95,96,96,95,94,95,93,93,94,94,95,94,93,92,91,90,90
Luxembourg,LUX,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,58,67,77,86,95,95,94,95,95,87,94,95,94,95,94,94,94,94,94,94,96,96,96,96,96
"Macao SAR, China",MAC,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Madagascar,MDG,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,61,71,81,82,84,77,77,70,73,68,70,68,62,68,65,65,68,66,55,55
Malawi,MWI,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,84,89,93,99,87,91,93,93,97,96,89,91,88,84,88,92,95,90,93,93
Malaysia,MYS,69,69,69,69,69,69,69,69,69,69,86,89,86,86,94,96,96,97,96,96,97,95,95,95,94,96,95,96,97,96,96,96,97,96,96,99,98,98,99,97,99,94,94
Maldives,MDV,21,21,21,21,21,21,21,21,21,21,21,21,21,21,63,80,96,50,45,90,96,98,98,98,97,98,98,98,98,98,97,96,99,99,99,99,99,99,99,98,99,96,96
Mali,MLI,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,73,83,90,74,74,71,72,66,65,64,66,71,76,77,77,77,70,77,77
Malta,MLT,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,85,85,86,82,86,86,75,82,93,94,90,95,97,88,98,98,98,99,99
Marshall Islands,MHL,3,3,3,3,3,3,3,3,3,3,10,17,24,17,46,47,68,70,80,80,38,76,80,74,72,89,97,93,97,99,97,89,80,80,79,85,73,82,84,82,86,89,89
Mauritania,MRT,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,68,74,74,64,64,75,80,80,81,73,74,76,77,80,72,68,68
Mauritius,MUS,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,85,88,92,88,97,98,97,97,97,99,99,99,98,98,98,97,97,72,96,97,97,93,92,92
Mexico,MEX,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,97,95,93,98,99,82,84,76,82,58,55,56,77,80,80
"Micronesia, Fed. Sts.",FSM,47,47,47,47,47,47,47,47,47,47,56,65,73,82,82,82,80,78,79,77,87,81,85,89,80,91,84,90,89,89,88,83,82,83,81,78,76,80,83,84,88,79,79
Moldova,MDA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,81,87,93,94,92,94,99,99,99,99,98,95,97,89,98,96,94,91,92,88,90,89,94,94,87,87,87
Monaco,MCO,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Mongolia,MNG,18,18,18,18,18,18,18,18,18,18,18,18,47,69,67,88,93,88,91,92,93,95,98,98,98,98,98,98,96,97,96,99,99,98,99,99,99,99,99,98,96,95,95
Montenegro,MNE,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,93,87,90,91,90,90,87,82,75,73,72,62,52,51,51
Morocco,MAR,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,43,84,92,90,95,96,95,95,97,98,98,98,99,99,99,99,99,99,99,99,99,99,99
Mozambique,MOZ,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,76,76,76,75,75,75,75,74,74,78,81,85,88,88,88,88,88,88,79,61,61
Myanmar,MMR,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,39,62,75,85,85,91,92,40,58,75,88,89,90,89,91,90,84,37,37
Namibia,NAM,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82,84,89,88,92,85,88,89,87,93,93,93
Nauru,NRU,79,79,79,79,79,79,79,79,79,79,79,79,90,99,79,57,72,86,29,62,58,95,75,77,78,80,99,99,99,99,99,99,79,87,95,91,97,87,90,96,95,98,98
Nepal,NPL,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,41,69,82,82,89,82,92,90,92,92,91,87,90,91,93,84,91,91
Netherlands,NLD,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,51,94,94,93,92,92,92,93,93,93
New Caledonia,NCL,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
New Zealand,NZL,67,67,67,67,67,67,67,67,67,67,67,67,67,74,81,88,94,99,87,89,90,90,89,89,88,87,87,88,90,93,90,95,93,93,93,92,92,94,93,92,92,90,90
Nicaragua,NIC,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98,98,98,98,98,98,98,92,87,87
Niger,NER,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,70,75,71,73,81,84,80,85,79,81,81,82,82
Nigeria,NGA,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,42,41,63,49,46,42,43,43,42,53,55,55,56,56,56,56
North Macedonia,MKD,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,89,96,97,95,90,96,98,97,97,92,94,91,92,92,84,79,79
Northern Mariana Islands,MNP,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Norway,NOR,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,97,96,96
Oman,OMN,94,94,94,94,94,94,94,94,94,94,94,94,99,96,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,98,98,99,99,99,99,99,99,99,99,99
Pakistan,PAK,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,65,60,54,53,52,52,63,64,65,69,72,75,78,81,84,77,83,83
Palau,PLW,89,89,89,89,89,89,89,89,89,89,89,89,75,94,73,99,99,90,96,96,96,98,99,99,98,98,98,91,92,69,80,91,89,99,99,90,98,98,98,98,93,96,96
Panama,PAN,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,95,92,88,85,86,85,94,87,85,80,80,73,86,81,88,88,74,74,74
Papua New Guinea,PNG,20,20,20,20,20,20,20,20,20,20,20,19,12,7,20,23,43,44,47,54,57,59,60,67,60,63,71,61,59,66,67,72,69,69,57,52,46,36,35,35,39,31,31
Paraguay,PRY,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,90,92,92,86,87,85,91,91,91,90,93,92,92,91,88,86,79,70,70
Peru,PER,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,92,94,94,93,93,93,93,91,95,88,88,90,89,83,84,88,72,82,82
Philippines,PHL,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,35,31,30,32,7,45,42,52,48,49,77,87,87,88,88,89,89,84,80,75,84,80,75,71,71,57,57
Poland,POL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,23,56,97,99,99,99,95,98,97,98,98,98,98,98,98,98,98,97,96,96,96,95,93,91,91,90,90,90
Portugal,PRT,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,34,49,64,61,58,70,82,94,94,94,97,97,97,96,97,97,98,98,98,98,98,98,98,98,99,99,99
Puerto Rico,PRI,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Qatar,QAT,86,86,86,86,86,86,86,86,86,86,86,86,89,93,90,90,90,90,92,92,89,93,98,93,97,97,96,94,97,99,97,93,93,97,89,99,98,97,98,98,89,98,98
Romania,ROU,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,99,98,99,99,97,95,98,96,96,96,94,90,90,92,93,90,87,86,86
Russian Federation,RUS,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,81,94,96,97,98,98,98,98,97,97,97,97,97,97,97,97,97,97,97,97,97
Rwanda,RWA,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,96,89,95,99,97,97,97,97,97,98,98,98,98,98,98,97,98,91,88,88
Samoa,WSM,18,18,18,18,18,18,18,18,18,18,18,18,18,1,94,96,98,99,98,97,93,93,92,90,62,51,46,58,26,58,72,75,82,85,81,84,73,67,44,68,89,85,85
San Marino,SMR,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,97,97,97,96,96,96,95,95,92,91,91,89,89,92,88,83,83,84,86,82,78,87,89,90,90
Sao Tome and Principe,STP,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,70,96,75,87,99,98,98,96,96,97,95,96,96,95,95,95,96,97,97
Saudi Arabia,SAU,66,66,66,66,66,66,66,66,66,66,66,86,89,93,94,93,92,91,95,92,93,95,97,95,96,97,96,96,98,98,98,98,98,98,98,98,98,98,97,96,95,97,97
Senegal,SEN,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,84,89,94,88,86,89,92,91,92,89,89,93,93,92,96,92,86,86
Serbia,SRB,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,65,93,99,93,93,89,94,97,91,92,94,91,93,91,94,87,87,87
Seychelles,SYC,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,99,97,95,98,99,99,99,99,99,99,98,99,99,98,98,99,97,96,97,99,99,97,94,94
Sierra Leone,SLE,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,77,84,86,89,91,92,83,86,84,90,93,95,91,92,92
Singapore,SGP,74,74,74,74,74,74,74,74,74,74,74,76,78,90,94,96,96,97,96,96,97,95,95,95,94,96,95,96,97,96,96,96,97,97,96,96,96,96,96,96,96,96,96
Sint Maarten (Dutch part),SXM,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Slovak Republic,SVK,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,96,96,96,97,97,97,97
Slovenia,SVN,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Solomon Islands,SLB,53,53,53,53,53,53,53,53,53,53,53,53,53,53,65,68,97,73,75,79,81,83,75,79,81,83,99,90,89,91,87,92,92,83,77,87,94,83,85,94,94,87,87
Somalia,SOM,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
South Africa,ZAF,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,73,73,72,72,71,76,79,83,83,76,74,71,76,70,73,85,85,85,84,82,85,84,86,86
South Sudan,SSD,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,45,47,49,49,49,49,49
Spain,ESP,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,84,81,80,77,83,82,81,97,96,97,96,97,96,97,97,96,95,96,97,97,94,96,95,94,92,92
Sri Lanka,LKA,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,62,99,98,98,98,97,99,99,99,99,99,99,99,99,99,99,96,96,96
St. Kitts and Nevis,KNA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,99,96,99,99,99,98,97,96,98,98,97,98,94,98,98,98,97,99,96,96
St. Lucia,LCA,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,84,91,95,85,99,96,95,97,99,98,99,99,99,95,80,95,92,86,80,80
St. Martin (French part),MAF,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
St. Vincent and the Grenadines,VCT,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,99,99,99,99,99,99,99,96,96,97,98,99,99,99,97,97,97,97,97
Sudan,SDN,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,60,78,78,72,75,93,92,93,94,93,93,95,93,93,90,84,84
Suriname,SUR,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,87,84,80,76,76,71,73,77,67,81,77,51,72,72
Sweden,SWE,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,35,42,53,67,76,92,97,97,98,98
Switzerland,CHE,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,72,73,73
Syrian Arab Republic,SYR,5,5,5,5,5,5,5,5,5,5,5,5,5,23,64,74,75,76,77,78,79,80,80,81,82,83,83,83,83,84,84,66,43,71,47,41,42,48,47,54,49,48,48
Tajikistan,TJK,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,58,81,81,88,84,86,93,93,96,94,96,97,96,97,96,96,97,97,97,97
Tanzania,TZA,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,95,95,90,90,83,86,85,91,90,92,91,97,96,92,90,89,89,86,81,81
Thailand,THA,15,15,15,15,15,15,15,15,15,15,15,15,15,58,66,93,93,94,95,95,95,95,95,96,96,96,96,96,98,98,98,98,98,99,99,99,99,99,97,97,97,97,97
Timor-Leste,TLS,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,72,72,67,83,82,77,76,79,83,83,90,86,86,86
Togo,TGO,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,78,83,85,84,84,84,82,82,83,81,84,82,83,83
Tonga,TON,94,94,94,94,94,94,94,94,94,94,94,88,82,96,90,91,94,95,96,93,97,96,95,93,99,99,99,99,98,99,99,99,95,99,98,96,96,99,99,99,99,99,99
Trinidad and Tobago,TTO,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,76,94,95,89,89,90,90,90,90,92,92,92,90,97,89,99,93,96,94,94
Tunisia,TUN,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,88,91,94,94,94,93,92,96,97,99,98,99,99,98,98,97,98,98,98,98,98,97,98,97,95,95
Turkiye,TUR,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,77,72,68,77,85,82,96,92,94,96,96,97,97,96,97,98,96,98,99,98,96,96
Turkmenistan,TKM,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,97,96,99,98,98,96,97,96,97,98,98,97,99,98,99,99,99,99,97,97
Turks and Caicos Islands,TCA,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Tuvalu,TUV,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,49,86,88,96,93,81,99,99,95,98,79,97,97,99,91,89,96,97,90,89,96,94,96,89,92,93,94,94
Uganda,UGA,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44,62,64,64,73,71,79,80,82,83,84,85,89,93,94,93,93,89,91,91
Ukraine,UKR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,48,77,98,97,96,92,84,66,48,21,46,46,22,22,26,52,67,76,81,77,77
United Arab Emirates,ARE,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,96,92,92,92,92,92,92,92,92,92,92,93,94,95,96,98,99,99,99,98,99,98,91,95,95
United Kingdom,GBR,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
United States,USA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,42,68,82,84,87,88,90,89,88,92,92,93,93,93,94,92,92,91,90,91,92,92,93,91,91,91,91,91,91
Uruguay,URY,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,94,95,91,94,96,95,94,94,95,95,95,95,94,95,95,95,93,91,94,92,89,89
Uzbekistan,UZB,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,99,99,99,98,99,91,98,99,99,99,99,99,99,99,99,98,96,95,98,98
Vanuatu,VUT,46,46,46,46,46,46,46,46,46,46,46,46,82,82,69,66,69,75,73,71,70,68,66,64,63,61,59,62,66,69,73,76,79,83,86,80,81,85,85,90,78,62,62
"Venezuela, RB",VEN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,53,60,72,82,88,71,62,53,84,78,78,81,82,78,87,84,66,60,64,54,56,56
Vietnam,VNM,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,94,94,93,67,87,94,88,95,97,59,95,97,96,94,75,89,94,83,83
Virgin Islands (U.S.),VIR,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
West Bank and Gaza,,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,91,99,91,90,95,92,91,97,96,99,97,98,96,97,98,99,99,99,99,99,99,99,99,99,98,95,95
"Yemen, Rep.",YEM,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,19,31,38,43,80,78,79,78,76,76,69,67,73,73,69,71,68,65,73,72,72,72
Zambia,ZMB,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,80,87,94,83,81,78,79,86,90,95,94,90,88,84,91,91
Zimbabwe,ZWE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,16,24,31,79,76,73,70,68,65,68,72,75,73,90,94,97,95,91,87,90,89,89,90,86,86,86
