country,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ecuador,ECU,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603,5642.74,5884.147,6107.6
Egypt,EGY,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3379.013,3404.341,3520.357,3731.177,3653.665,2484.537,2577.269,3056.975,3600.839,3851.746,4176.598
El Salvador,SLV,827.158,721.104,706.494,672.516,488.784,471.502,469.937,472.147,543.469,611.47,914.131,983.18,1073.311,1216.701,1380.707,1585.11,1684.785,1778.838,1886.36,1930.622,2001.538,2072.299,2124.105,2209.498,2278.432,2428.569,2631.821,2786.156,2933.396,2858.481,2983.23,3266.012,3428.409,3509.531,3589.039,3705.578,3805.992,3910.255,4052.621,4167.44,3798.833,4244.299,4475.175
Equatorial Guinea,GNQ,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1250.993,1885.985,2616.487,3107.854,5424.13,8214.073,10810.445,12743.347,15782.688,22834.435,16596.742,17153.165,21479.995,21556.417,20252.748,19271.286,11217.985,9202.539,9624.532,9968.089,8394.415,7136.81,8625.763,8058.547
Eritrea,ERI,106,106,106,106,106,106,106,106,106,106,106,121,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,587.684,625.974,678.248
Estonia,EST,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3450,2831,1194.189,1711.271,2721.005,3379.95,3686.89,4096.127,4151.432,4084.938,4516.219,5358.418,7216.265,8923.191,10426.689,12657.064,16764.936,18273.297,14756.39,14696.814,17484.728,17414.24,19056.283,20253.974,17403.806,18290.293,20430.567,23074.035,23400.469,23035.913,27100.736,29735.018
Eswatini,SWZ,1353.87,1390.764,1208.985,1207.844,999.523,762.131,936.249,1172.28,1332.878,1306.668,1552.212,1567.762,1699.814,1750.159,1859.518,2171.72,2012.452,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.251,4326.001,4133.025,3765.916,3513.797,4031.059,4225.912,4009.994,3532.545,3965.426,4164.289
Ethiopia,ETH,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,939.511,939.511
Faroe Islands,FRO,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Fiji,FJI,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6142.933,4995.163,5127.44,5507.13
Finland,FIN,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50033.305,48716.216,48786.033,53522.565,56832.595
France,FRA,13052.055,11393.065,10764.181,10245.002,9667.515,10028.463,13922.959,16776.515,18204.104,18218.703,22432.059,22329.525,24538.409,23059.189,24215.692,27721.67,27716.205,24999.792,25783.476,25517.131,23149.274,23229.175,25058.792,30628.86,34980.08,36000.917,37762.463,42998.453,46927.305,43079.371,42100.289,45378.299,42348.741,44130.832,44545.718,37918.771,38332.675,40053.616,43021.379,41989.673,40298.851,45028.265,47952.125
French Polynesia,PYF,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Gabon,GAB,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8220.504,8111.34,7277.369,8569.216,9083.633
"Gambia, The",GMB,1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,769.661,819.22,846.506
Georgia,GEO,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1268,730,538,172.502,413.487,688.642,818.402,864.471,687.028,763.51,819.495,874.692,1034.708,1338.264,1682.657,2048.023,2700.586,3418.858,2890.875,3222.065,4003.471,4409.605,4622.966,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4275.293,4807.95,5297.521
Germany,DEU,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.043,25602.961,27233.633,31829.61,30664.393,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.859,42338.844,42379.71,46697.376,43883.393,46299.371,48035.802,41107.222,42124.452,44636.698,47995.381,46800.183,46215.596,50787.859,54653.004
Ghana,GHA,3489.408,5537.341,6271.389,4114.168,1391.696,1213.37,1094.377,895.168,930.218,924.054,1045.579,1142.78,1102.828,881.064,793.783,918.725,950,945.574,1002.591,1012.265,606.494,630.69,714.412,860.458,973.275,1151.293,1320.27,1520.628,1688.059,1477.632,1757.029,2131.731,2197.891,2405.776,2003.714,1784.251,1982.243,2086.598,2275.769,2265.713,2225.506,2413.095,2556.508
Gibraltar,GIB,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Greece,GRC,5898.163,5376.978,5576.511,5008.015,4854.243,4791.75,5623.163,6522.421,7568.289,7812.784,9597.714,10196.17,11139.445,10363.63,11029.098,12887.889,13660.507,13370.349,13412.55,13784.361,12164.719,12473.285,14065.791,18378.281,21829.501,22417.643,24648.873,28656.233,31902.014,29577.642,26743.4,25437.01,21845.973,21679.669,21567.966,17997.401,17879.707,18578.294,19769.332,19147.461,17657.1,19827.162,21155.314
Greenland,GRL,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Grenada,GRD,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5041.015,5213.797,5682.707,5741.653,6644.217,6658.218,7213.002,7832.366,7290.821,7258.182,7291.739,7444.082,7789.618,8370.031,9096.535,9628.26,10152.834,10466.805,10608.38,9130.372,9575.343,10194.006
Guam,GUM,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Guatemala,GTM,1070.284,1140.215,1126.186,1139.957,1163.059,1338.718,705.755,796.957,841.769,946.757,808.879,966.003,1045.432,1110,1228.967,1348.884,1408.233,1559.644,1656.359,1527.239,1555.638,1654.953,1795.772,1847.291,1951.798,2151.742,2336.955,2556.76,2873.086,2654.1,2836.06,3172.124,3267.792,3397.625,3632.101,3825.882,3982.02,4233.007,4240.545,4371.265,4317.448,4542.253,4767.436
Guinea,GIN,444,480,507,521,532,561,574,590,629,618,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,991.735,1101.713,1168.178,1241.834
Guinea-Bissau,GNB,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,866.451,810.558,789.856,858.04,907.339
Guyana,GUY,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.702,9369.011,12426.394
Haiti,HTI,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1691.825,1560.232
Honduras,HND,955.25,1017.067,1015.875,1044.202,1092.454,1161.918,1180.458,1249.586,1351.372,1467.031,841.249,822.855,891.443,888.614,845.738,948.437,888.005,948.716,1023.397,1003.065,1093.106,1133.185,1134.068,1158.179,1217.816,1308.089,1430.056,1583.048,1739.357,1789.707,1904.346,2088.311,2144.337,2102.595,2206.056,2302.204,2342.024,2451.936,2506.62,2567.967,2396.689,2602.17,2712.44
Hong Kong SAR,HKG,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43491.305,46032.29,48313.144,48268.216,46657.196,49485.084,51895.028
Hungary,HUN,2151.468,2207.127,2249.984,2046.399,1989.903,2022.961,2338.799,2582.847,2838.561,2909.702,3312.337,3350.242,3733.447,3871.071,4170.571,4491.215,4520.76,4591.492,4738.015,4786.245,4619.293,5269.607,6644.61,8410.769,10275.774,11188.448,11469.411,13904.826,15742.787,13035.623,13173.209,14195.846,12935.511,13665.526,14251.799,12690.167,13069.23,14590.897,16407.353,16729.132,15866.216,18527.592,20380.161
Iceland,ISL,15133.103,15454.708,14008.881,11865.27,12139.43,12517.151,16585.858,22795.638,24840.125,22646.588,25651.419,27183.019,27383.229,23749.384,24142.695,26711.55,27914.45,28048.848,31219.801,32577.642,32344.364,29061.339,32516.441,39620.411,47579.937,57405.559,58238.886,70375.326,57296.251,41188.906,43293.021,47798.807,46159.8,50100.084,54864.159,53227.627,62530.419,73085.132,75382.6,69631.272,59643.087,68843.646,72317.581
India,IND,271.031,274.726,277.965,296.291,281.099,302.945,315.161,346.171,357.799,352.182,374.002,308.37,322.512,306.44,352.172,380.321,406.968,422.809,420.573,449.725,451.114,459.473,479.063,556.326,638.787,726.918,814.353,1046.898,1019.511,1121.248,1384.174,1458.105,1443.879,1449.605,1573.881,1605.605,1732.051,1980.694,1996.952,2098.933,1929.677,2116.444,2312.901
Indonesia,IDN,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3885.465,3947.248,4196.297,3921.622,4224.982,4538.152
Iran,IRN,2741.016,2740.504,3020.642,3709.146,3774.631,3788.878,4257.537,5602.03,5931.254,6955.853,10797.113,5357.884,884.443,1137.104,1413.21,1990.358,2694.673,3042.982,3312.421,4332.749,5648.124,4842.262,1947.965,2256.512,2744.105,3239.138,3765.88,4905.238,5612.145,5656.192,6564.058,7719.433,5159.196,5199.853,5519.135,4844.495,5195.909,5471.788,5543.901,6980.744,9928.187,12725.042,13243.342
Iraq,IRQ,920,802,820,761,770,775,836,1001,1044,966,977,333,382,265,206,172,292,310,383,648,717,729,699,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4637.004,5178.921,5950.825,5981.102,4223.218,4892.964,5364.248
Ireland,IRL,6252.207,5886.368,6078.144,5839.832,5591.81,5934.548,7993.15,9419.506,10365.284,10754.616,13644.791,13748.196,15331.894,14262.798,15455.354,19086.797,20781.392,22468.61,24202.501,26233.643,26186.264,28120.1,32482.077,40940.136,47389.262,50476.482,53738.836,60770.052,60989.977,51943.467,48612.201,52116.927,49000.81,51459.003,55499.027,61861.203,62632.808,69486.551,78837.737,80632.329,85205.496,102394.017,108162.69
Isle of Man,IMN,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Israel,ISR,6096.707,6413.923,6752.808,7374.492,6892.403,6294.15,7629.984,8966.967,10925.93,10928.613,12502.88,13354.935,14407.213,14107.137,15698.653,18154.264,19391.933,19705.404,19439.247,19152.867,21071.762,20324.926,18449.182,18998.835,19919.021,20594.662,21859.442,24966.228,29659.792,27793.383,30791.278,33787.427,32681.199,36515.115,37864.407,35822.856,37341.6,40790.933,42079.335,43965.661,44181.168,49840.25,52504.189
Italy,ITA,8548.182,7739.537,7642.779,7925.739,7830.361,8082.894,11446.007,14366.803,15913.065,16538.736,20624.437,21766.811,23085.989,18548.316,19124.216,20675.32,23094.404,21858.43,22348.031,22029.702,20153.067,20505.907,22386.262,27580.457,31342.811,32031.426,33448.085,37828.364,40818.985,36982.806,35815.615,38276.034,34743.73,35534.99,35836.183,30463.696,31190.794,32648.756,34921.013,33521.343,31604.433,35584.882,38168.69
Jamaica,JAM,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2249.32,2234.803,2660.153,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3709.572,3586.441,3855.674,4241.399,4494.63,4829.296,5134.246,4507.186,4894.369,5332.52,5448.456,5238.147,5105.511,5204.825,5183.462,5413.03,5729.757,5781.785,5102.762,5421.642,5697.354
Japan,JPN,9659,10574.371,9772.809,10636.463,11205.352,11815.804,17466.671,21177.787,25575.098,25336.199,25895.956,29511.775,32069.069,36425.222,39953.195,44210.242,39164.322,35651.27,32436.923,36622.885,39172.963,34410.68,32832.296,35410.222,38307.096,37819.1,36021.9,35847.226,39992.06,41469.773,45135.796,48760.905,49175.054,40934.756,38522.771,35005.656,39411.424,38903.298,39818.795,40689.791,40088.603,40704.304,43118.834
Jordan,JOR,1697.141,1838.681,1886.925,1902.7,1843.989,1780.842,2193.068,2225.634,2005.008,1291.648,1204.987,1193.759,1395.287,1361.59,1453.792,1499.556,1514.849,1546.363,1655.728,1675.702,1709.662,1782.108,1868.862,1948.189,2125.809,2271.857,2616.511,2849.051,3489.786,3597.34,3777.824,3897.607,3963.585,4100.939,4188.717,4218.828,4224.802,4273.905,4341.042,4425.687,4286.485,4393.642,4564.91
Kazakhstan,KAZ,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1656,168.645,304.849,751.98,1061.475,1358.804,1459.416,1480.091,1132.126,1230.49,1491.652,1657.157,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.372,9005.041,11552.573,12300.185,13789.174,12713.563,10435.169,7662.006,9186.712,9749.07,9750.431,9071.302,10144.682,10510.363
Kenya,KEN,1305.247,1185.18,1101.075,983.361,986.51,950.251,1093.491,1156.785,1158.818,1111.265,1124.819,1029.415,983.514,663.428,771.897,951.64,1047.966,1034.12,1096.62,972.176,897.619,870.082,898.186,953.835,941.165,1056.471,1203.39,1412.69,1314.844,1123.285,1176.309,1178.584,1396.213,1490.414,1613.092,1625.155,1688.865,1805.384,1983.372,2110.46,2103.548,2198.593,2290.498
Kiribati,KIR,720.463,739.991,656.088,630.233,675.191,500.804,479.561,530.358,652.243,630.112,594.756,645.746,646.914,623.58,716.416,721.087,847.061,839.086,805.03,832.622,802.478,732.872,824.831,1016.381,1128.371,1212.132,1166.435,1376.275,1456.908,1332.071,1518.57,1741.139,1798.255,1731.38,1655.862,1556.496,1598.885,1656.628,1748.647,1695.298,1673.412,1927.077,2001.239
"Korea, Dem. People's Rep.",PRK,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
"Korea, Republic of",KOR,1714.62,1883.456,1992.29,2198.939,2413.291,2482.4,2834.888,3554.62,4748.676,5817.065,6609.985,7637.199,8126.451,8886.386,10381.18,12565.033,13402.925,12416.754,8271.412,10666.862,12263.471,11563.04,13159.675,14672.418,16482.75,19398.494,21730.952,24083.338,21387.709,19139.732,23077.161,25100.188,25459.168,27179.519,29252.933,28737.439,29274.232,31600.737,33433.172,31936.795,31638.455,35195.522,36791.512
Kosovo,XKX,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2731,2030,1486,1098,1093,2351,1531,1448,1325,932,1506.279,1704.498,1807.419,2205.806,2274.957,2318.585,2400.435,2865.991,3320.602,3244.921,3290.463,3763.906,3582.128,3885.717,4098.927,3637.466,3766.213,4027.29,4425.862,4462.718,4348.292,4986.263,5406.535
Kuwait,KWT,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,27193.897,29903.564,28513.431,22683.638,27927.163,28821.611
Kyrgyz Republic,KGZ,594,594,594,594,594,594,594,594,594,594,594,559,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1388.647,1188.817,1224.745,1313.856
Lao P.D.R.,LAO,596.196,341.873,334.404,596.412,831.39,1017.414,691.926,473.879,300.081,360.325,414.261,474.15,528.183,578.467,654.369,741.537,753.99,696.054,259.296,270.226,323.04,324.75,335.686,405.111,467.759,530.059,669.723,800.103,983.762,1045.888,1200.869,1412.035,1581.898,1830.51,1997.984,2130.629,2323.281,2452.861,2567.549,2618.182,2586.78,2625.61,2757.814
Latvia,LVA,3632,3632,3632,3632,3632,3632,3632,3632,3632,3632,3632,3386,632.625,1021.782,1724.206,2162.492,2417.08,2667.908,2958.619,3137.091,3339.151,3549,4115.578,5111.94,6327.977,7550.177,9666.812,14057.158,16390.267,12199.672,11276.112,13809.193,13862.392,15041.849,15678.081,13722.081,14253.044,15613.438,17799.831,17739.474,17549.303,19538.902,21489.13
Lebanon,LBN,1552.33,1480.691,1005.258,1376.819,1617.734,1344.135,1044.329,1219.351,1217.425,983.323,998.852,1502.885,1778.315,2289.629,2640.177,3108.246,3550.639,4245.057,4617.163,4580.864,4427.215,4348.533,4502.677,4438.894,4629.213,4575.074,4626.82,5207.76,6111.36,7354.971,7761.616,7675.291,7952.12,7933.253,7687.746,7663.878,7653.694,7819.591,8058.463,7639.101,2784.822,2784.822,2784.822
Lesotho,LSO,340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1106.83,1105.765,1166.068,1140.515,1087.591,969.708,1187.512,1227.367
Liberia,LBR,404,449,448,430,413,401,392,414,446,232,213,140,101,83,82,92,145,163,184,183,325.463,328.515,334.824,248.982,307.15,314.889,357.241,415.958,497.445,503.596,541.579,625.257,695.516,772.241,765.368,747.177,767.373,763.108,731.317,672.882,647.1,703.406,743.004
Libya,LBY,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2723.365,2907.457,4685.07,6361.578,6004.471,2891.462,4068.611,4308.91
Liechtenstein,LIE,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Lithuania,LTU,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2774,2702,2181,1879,1742,1845.103,2327.496,2830.268,3166.72,3113.271,3293.307,3525.849,4140.734,5499.475,6699.372,7860.178,9236.616,12305.917,15017.555,11848.202,12009.033,14393.268,14376.001,15734.38,16577.328,14265.41,15004.186,16879.45,19184.843,19557.385,19981.336,22411.646,24209.399
Luxembourg,LUX,17738.608,15251.874,12514.722,12284.434,12033.023,12444.197,18023.017,22239.616,24976.673,26333.586,33201.394,35490.269,39219.909,39643.662,43483.047,50911.338,49921.106,44382.362,45822.189,49541.93,49183.426,48498.772,53399.453,66061.086,76343.548,81048.07,90499.474,107014.124,115898.758,104393.459,106177.041,117366.282,108050.474,114996.722,120449.741,102624.733,105364.028,108621.942,117859.718,115838.953,116921.11,131301.599,137947.805
Macao SAR,MAC,4095,4220,4333,4129,4556,4553,4907,6016,6755,7700,8954,10109,12915,14611,15993,17558,17577,17502,16099,15256,15560,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69666.751,69910.52,77257.325,82862.878,81156.614,35621.456,42106.564,59113.563
Madagascar,MDG,594.73,529.787,518.939,495.274,402.08,380.975,423.6,304.151,293.209,283.399,338.948,272.525,301.997,320.564,269.561,284.823,354.742,297.115,297.254,279.921,293.607,334.442,319.216,368.797,284.488,319.537,338.751,438.655,536.352,467.54,471.959,531.266,518.155,541.069,530.863,467.235,476.226,515.935,518.489,512.176,461.8,498.682,531.409
Malawi,MWI,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,565.798,543.551
Malaysia,MYS,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2585.824,2885.306,3378.721,3716.952,4027.509,4678.024,5175.556,5011.56,3519.766,3762.769,4347.73,4189.053,4441.824,4740.324,5244.873,5678.353,6351.178,7480.936,8759.517,7544.11,9046.985,10397.92,10806.84,10851.664,11165.259,9663.111,9523.295,9965.123,11079.785,11231.411,10231.341,11124.67,12295.732
