country,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,CIV,1736.221,1406.871,1215.248,1043.542,1012.116,993.889,1280.028,1355.587,1357.326,1248.332,1327.006,1240.002,1268.082,1142.984,835.236,1073.949,1152.482,1084.69,1137.461,1088.344,920.472,935.446,1009.639,1216.937,1282.215,1287.97,1308.58,1458.236,1697.048,1657.596,1650.956,1660.451,1686.73,1919.162,2115.189,1932.222,1971.618,2066.845,2265.294,2227.982,2271.379,2489.102,2645.558
Croatia,HRV,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,2847,2572.621,2786.37,3809.89,4995.309,5217.741,5209.717,5594.799,5099.544,4938.113,5355.367,6228.622,8054.456,9368.621,10215.386,11356.452,13542.208,15839.939,14134.156,13562.418,14608.2,13257.015,13673.369,13600.786,11780.604,12362.591,13450.094,15013.369,14945.184,13895.943,15807.696,17222.699
Cuba,CUB,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Curacao,CUW,3833.17977,3736.90823,3563.350684,3422.983189,3381.59952,3359.112872,3697.645633,4219.256179,4575.116224,4717.503541,5361.90776,5424.291964,5651.334102,5463.77573,5799.485158,6526.192684,6752.286944,6635.88151,6554.658908,6731.78849,6836.055158,6757.021148,7105.017847,8240.286291,9378.864153,10243.47153,11091.15706,12609.75132,13793.70065,12243.72349,13042.85937,14558.35739,14443.44201,14820.53212,14924.38666,13276.79571,13301.65389,14069.55549,14971.81152,14787.77617,13660.00586,15307.00016,16349.13741
Cyprus,CYP,4549.649,4352.558,4452.724,4399.28,4575.712,4824.737,6057.982,7188.31,8204.406,8635.877,10360.133,10413.861,12158.755,11342.555,12525.481,15397.119,15260.553,14324.09,15181.635,15379.994,14464.816,14905.024,16188.531,20389.337,23969.818,25527.08,27448.569,31774.245,36009.75,32650.439,31439.286,32819.465,28993.69,27601.847,26995.341,23428.723,24692.503,26580.485,29300.334,28487.981,26784.886,29486.275,30995.783
Czech Republic,CZE,3905,3905,3905,3905,3905,3905,3905,3905,3905,3905,3905,2862,3344,3913,4581,5820.043,6529.042,6030.633,6484.201,6333.862,6015.067,6627.103,8056.318,9823.287,11751.897,13446.938,15284.674,18527.743,22925.748,19908.146,19983.577,21890.781,19880.902,20129.622,19915.381,17842.868,18597.213,20666.666,23463.602,23709.181,22942.855,25806.384,28076.587
Denmark,DNK,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59861.612,61153.924,67919.585,70769.472
Djibouti,DJI,839,853,868,859,883,872,879,840,827,790,1075.36,1069.557,1090.968,1057.622,1108.889,1108.216,1077.268,1067.631,1060.78,1084.063,1087.355,1105.798,1120.277,1159.545,1211.886,1270.208,1358.408,1477.246,1691.086,1720.974,1835.753,2036.942,2188.544,2312.721,2465.985,2675.575,2818.34,2930.674,3141.862,3437.155,3481.573,3645.5,3869.254
Dominica,DMA,930,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7082.74,6994.866,7153.468,7388.583,7596.222,8089.25,7768.354,8118.956,8524.696,7416.244,7777.016,8559.171
Dominican Republic,DOM,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.611,7553.509,8491.619,9158.02
