 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Barbados,BRB,8.5,8.49,8.48,8.47,8.46,8.45,8.44,8.43,8.42,8.41,8.4,6.033333333,3.666666667,1.3,4.35,7.4,7.6,7.557142857,7.514285714,7.471428571,7.428571429,7.385714286,7.342857143,7.3,7.3,6.7,6.6,7.1,7.6,6.8,6.8,6.55,6.3,6.3,5.9,5.9,5.9,6,6,6,6,6,6
Belarus,BLR,12.5,12.62,12.74,12.86,12.98,13.1,13.3,13.5,13.4,13.6,13.2,13.2,12.7,12.5,12.5,12.4,12.3,12.4,12.4,12.6,12.6,12.6,11.9,11.3,10.7,11.1,11.2,11.2,11.1,11.1,11.5,11.3,11.3,11.1,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
Belgium,BEL,9.4,9.34,9.28,9.22,9.16,9.1,8.88,8.66,8.44,8.22,8,7.9,7.7,7.7,7.6,7.466666667,7.333333333,7.2,7.2,7.1,6.7,6.6,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.1,6.1,6,5.9,5.9,5.8,5.8,5.7,5.6,5.6,5.6,5.6,5.6
Belize,BLZ,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.15,3,2.85,2.7,2.733333333,2.766666667,2.8,2.65,2.5,2.1,2.05,2,1.95,1.9,1.7,1.5,1.3,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.1,0.9,1.3,1.25,1.2,1,1,1,1,1,1
Benin,BEN,1.5,1.1,0.925,0.75,0.575,0.4,0.48,0.56,0.64,0.72,0.8,0.5,0.2,0.2,0.2,0.227272727,0.254545455,0.281818182,0.309090909,0.336363636,0.363636364,0.390909091,0.418181818,0.445454545,0.472727273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Bermuda,BMU,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3548,6.4096,6.4644,6.5192,6.574,6.6288,6.6836,6.7384,6.7932,6.848,6.9028,6.9576,7.0124,7.0672,7.122,7.1768,7.2316,7.2864,7.3412,7.396,7.4508,7.5056,7.5604,7.6152,7.67,7.67
Bhutan,BTN,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.475,1.25,1.025,0.8,1,1.2,1.4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.625,1.65,1.675,1.7,1.72,1.74,1.76,1.78,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Bolivia,BOL,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,1,1.05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Bosnia and Herzegovina,BIH,4.8,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.314285714,4.228571429,4.142857143,4.057142857,3.971428571,3.885714286,3.8,3.8,3.4,3.2,3.2,3.2,3.1,3.1,3.3,3.4,3.4,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Botswana,BWA,2.4,2.32,2.24,2.16,2.08,2,1.92,1.84,1.76,1.68,1.6,1.646153846,1.692307692,1.738461538,1.784615385,1.830769231,1.876923077,1.923076923,1.969230769,2.015384615,2.061538462,2.107692308,2.153846154,2.2,2.25,2.3,2.35,2.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Brazil,BRA,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.4,3.3,3.366666667,3.433333333,3.5,3.366666667,3.233333333,3.1,3.025,2.95,2.875,2.8,2.8,2.6,2.4,2.45,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
British Virgin Islands,VGB,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68
Brunei Darussalam,BRN,2.9,2.9,3,2.972222222,2.944444444,2.916666667,2.888888889,2.861111111,2.833333333,2.805555556,2.777777778,2.75,2.722222222,2.694444444,2.666666667,2.638888889,2.611111111,2.583333333,2.555555556,2.527777778,2.5,2.6,2.7,2.65,2.6,2.6,2.8,2.75,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.8,2.8,2.9,2.8875,2.875,2.8625,2.85,2.85
Bulgaria,BGR,8.9,8.9,8.9,8.9,9,9.1,9.5,9.6,9.6,9.7,9.8,9.8,10.2,10.5,10.2,10.4,10.5,10.3,8.4,7.5,7.4,7.2,6.5,6.3,6.1,6.4,6.3,6.5,6.6,6.7,6.6,6.5,6.6,6.8,7.1,7.2,7.3,7.5,7.5,7.5,7.5,7.5,7.5
Burkina Faso,BFA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.7,0.9,1.1,1.3,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.775,0.65,0.525,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Burundi,BDI,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7125,0.725,0.7375,0.75,0.7625,0.775,0.7875,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
